,round_epochs,val_loss,val_accuracy,loss,accuracy,activation_1,activation_2,activation_3,activation_4,activation_5,batch_size,dropout,emb_output_dims,epochs,kernel_initializer,last_activation,loss,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,optimizer,weight_regulizer
1107,2,1.9486368894577026,0.05622490122914314,1.9439764189258288,0.13493654131889343,tanh,relu,relu,relu,relu,512,0.05,,10,uniform,softmax,categorical_crossentropy,0.0001,64,256,256,<class 'keras.optimizers.SGD'>,
357,4,22.527402877807617,0.05622490122914314,17.854347165298208,0.1436205804347992,tanh,elu,elu,elu,elu,512,0.35000000000000003,,30,normal,softmax,categorical_crossentropy,6.00004,64,32,128,<class 'keras.optimizers.Adam'>,
658,12,2.7311699390411377,0.05622490122914314,2.994275157899162,0.1676686704158783,elu,elu,tanh,relu,tanh,512,0.25,,30,uniform,softmax,categorical_crossentropy,6.00004,32,32,128,<class 'keras.optimizers.Nadam'>,
1197,4,3.742384672164917,0.05622490122914314,5.059050283514824,0.13894455134868622,elu,tanh,relu,tanh,tanh,512,0.30000000000000004,,20,normal,softmax,categorical_crossentropy,3.0000700000000005,128,256,64,<class 'keras.optimizers.Adam'>,
1971,4,84.02997389950427,0.05622490122914314,42.97033337202563,0.12491650134325027,relu,tanh,elu,elu,elu,256,0.0,,20,uniform,softmax,categorical_crossentropy,9.000010000000001,64,128,64,<class 'keras.optimizers.Adam'>,
40,5,2.809561436434826,0.05622490122914314,3.2477377368835265,0.16232465207576752,tanh,elu,elu,elu,tanh,256,0.30000000000000004,,30,normal,softmax,categorical_crossentropy,7.000030000000001,64,32,256,<class 'keras.optimizers.Nadam'>,
309,3,2.9174831344420653,0.05622490122914314,2.9608890225111684,0.15965263545513153,tanh,relu,tanh,tanh,tanh,256,0.2,,10,normal,softmax,categorical_crossentropy,6.00004,32,128,64,<class 'keras.optimizers.Nadam'>,
1739,7,2.118021011352539,0.05622490122914314,2.0102373304252397,0.20841683447360992,relu,elu,relu,elu,elu,512,0.25,,10,normal,softmax,categorical_crossentropy,7.000030000000001,32,64,128,<class 'keras.optimizers.RMSprop'>,
1765,6,1.9476736051490509,0.05622490122914314,1.937936075464757,0.22044087946414948,tanh,relu,elu,tanh,relu,256,0.15000000000000002,,20,normal,softmax,categorical_crossentropy,5.000050000000001,64,32,64,<class 'keras.optimizers.Nadam'>,
363,10,1.9466294050216675,0.05622490122914314,1.942678153475046,0.13493654131889343,elu,tanh,relu,tanh,relu,512,0.25,,10,uniform,softmax,categorical_crossentropy,3.0000700000000005,128,256,256,<class 'keras.optimizers.Nadam'>,
