,round_epochs,val_loss,val_accuracy,loss,accuracy,activation_1,activation_2,activation_3,activation_4,activation_5,batch_size,dropout,emb_output_dims,epochs,kernel_initializer,last_activation,loss,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,optimizer,weight_regulizer
89,8,2.7637410163879395,0.20481927692890167,2.8835776242400777,0.21710087358951569,elu,relu,tanh,tanh,tanh,512,0.30000000000000004,,30,normal,softmax,categorical_crossentropy,3.0000700000000005,128,64,256,<class 'keras.optimizers.Adam'>,
63,11,1.933807373046875,0.20481927692890167,1.9194332824680276,0.21977287530899048,relu,relu,tanh,elu,elu,512,0.45,,30,uniform,softmax,categorical_crossentropy,1.0000900000000001,32,256,256,<class 'keras.optimizers.SGD'>,
61,10,1.9406547900663322,0.20481927692890167,1.9167637508076354,0.21977287530899048,relu,elu,elu,relu,relu,256,0.35000000000000003,,30,uniform,softmax,categorical_crossentropy,4.00006,128,256,64,<class 'keras.optimizers.RMSprop'>,
96,5,1.9303280115127563,0.20481927692890167,1.9188343194141018,0.21977287530899048,tanh,relu,tanh,tanh,tanh,512,0.25,,30,uniform,softmax,categorical_crossentropy,2.0000800000000005,64,32,128,<class 'keras.optimizers.SGD'>,
66,22,2.07535457611084,0.20481927692890167,2.1188930038141263,0.17234468460083008,tanh,tanh,tanh,tanh,elu,512,0.05,,30,normal,softmax,categorical_crossentropy,8.000020000000001,128,256,128,<class 'keras.optimizers.RMSprop'>,
72,3,1.930406009815783,0.20481927692890167,1.9202016233681198,0.22311289608478546,tanh,elu,elu,tanh,elu,256,0.2,,30,normal,softmax,categorical_crossentropy,2.0000800000000005,128,128,32,<class 'keras.optimizers.SGD'>,
68,10,1.9416721384209323,0.20481927692890167,1.9163779878743745,0.21977287530899048,tanh,relu,tanh,relu,relu,256,0.15000000000000002,,30,uniform,softmax,categorical_crossentropy,4.00006,32,64,256,<class 'keras.optimizers.RMSprop'>,
87,14,2.3473953760292634,0.20481927692890167,2.700374818118955,0.15965263545513153,elu,relu,tanh,tanh,elu,256,0.25,,30,uniform,softmax,categorical_crossentropy,9.000010000000001,32,32,128,<class 'keras.optimizers.Adam'>,
86,8,2.0308098793029785,0.20481927692890167,1.9155408950670607,0.20841683447360992,tanh,tanh,tanh,tanh,tanh,512,0.45,,30,uniform,softmax,categorical_crossentropy,1.0000900000000001,64,32,64,<class 'keras.optimizers.Nadam'>,
92,8,1.9314421616404889,0.20481927692890167,1.919553378939071,0.21977287530899048,tanh,elu,relu,tanh,relu,256,0.2,,30,uniform,softmax,categorical_crossentropy,1.0000900000000001,64,256,32,<class 'keras.optimizers.SGD'>,
84,14,1.933734549097268,0.20481927692890167,1.9196428594863169,0.21977287530899048,elu,elu,tanh,tanh,relu,256,0.05,,30,uniform,softmax,categorical_crossentropy,9.000010000000001,32,128,64,<class 'keras.optimizers.Nadam'>,
82,9,1.929937481880188,0.20481927692890167,1.918647433251003,0.21977287530899048,elu,elu,relu,relu,tanh,512,0.2,,30,normal,softmax,categorical_crossentropy,1.0000900000000001,128,128,64,<class 'keras.optimizers.SGD'>,
81,9,1.941117966988958,0.20481927692890167,1.9167814977820428,0.21977287530899048,relu,elu,relu,relu,tanh,256,0.4,,30,normal,softmax,categorical_crossentropy,1.0000900000000001,32,256,64,<class 'keras.optimizers.Nadam'>,
67,7,1.939416189749078,0.20481927692890167,1.9169566993643303,0.21977287530899048,tanh,relu,tanh,elu,relu,256,0.1,,30,uniform,softmax,categorical_crossentropy,2.0000800000000005,128,64,32,<class 'keras.optimizers.SGD'>,
77,8,1.942454494625689,0.20481927692890167,1.917992334725782,0.21977287530899048,tanh,tanh,elu,relu,relu,256,0.15000000000000002,,30,normal,softmax,categorical_crossentropy,3.0000700000000005,64,64,256,<class 'keras.optimizers.Nadam'>,
75,3,1.9317229986190796,0.20481927692890167,1.918414915890079,0.21977287530899048,tanh,elu,relu,elu,relu,512,0.1,,30,uniform,softmax,categorical_crossentropy,4.00006,32,64,128,<class 'keras.optimizers.SGD'>,
74,6,1.9402920266231858,0.20481927692890167,1.9198914333909212,0.21977287530899048,relu,relu,elu,elu,elu,256,0.30000000000000004,,30,random_uniform,softmax,categorical_crossentropy,8.000020000000001,64,32,128,<class 'keras.optimizers.SGD'>,
73,3,1.9397443671781853,0.20481927692890167,1.9193550871464915,0.21977287530899048,relu,relu,tanh,relu,tanh,256,0.25,,30,uniform,softmax,categorical_crossentropy,5.000050000000001,64,256,128,<class 'keras.optimizers.SGD'>,
90,13,1.9696863434879655,0.20481927692890167,2.6145707920701327,0.15831662714481354,elu,relu,tanh,elu,elu,256,0.45,,30,normal,softmax,categorical_crossentropy,8.000020000000001,32,32,128,<class 'keras.optimizers.RMSprop'>,
71,6,2.3837107137503875,0.20481927692890167,2.396088831888172,0.1416165679693222,relu,tanh,relu,relu,tanh,256,0.0,,30,uniform,softmax,categorical_crossentropy,4.00006,128,128,64,<class 'keras.optimizers.RMSprop'>,
70,3,1.9358518137989273,0.20481927692890167,1.918933011248021,0.21977287530899048,tanh,relu,relu,tanh,relu,256,0.15000000000000002,,30,uniform,softmax,categorical_crossentropy,9.000010000000001,64,256,32,<class 'keras.optimizers.SGD'>,
59,30,1.9308490753173828,0.20481927692890167,1.939176135247918,0.18303273618221283,elu,elu,tanh,tanh,elu,512,0.30000000000000004,,30,normal,softmax,categorical_crossentropy,0.0001,32,256,256,<class 'keras.optimizers.Adam'>,
58,9,1.9372495412826538,0.20481927692890167,1.9113553205807368,0.21977287530899048,tanh,elu,tanh,elu,tanh,512,0.0,,30,random_uniform,softmax,categorical_crossentropy,9.000010000000001,128,128,64,<class 'keras.optimizers.SGD'>,
0,4,1.9371839235106625,0.20481927692890167,1.9164404235207884,0.21977287530899048,tanh,relu,tanh,tanh,relu,256,0.2,,30,random_uniform,softmax,categorical_crossentropy,7.000030000000001,128,256,32,<class 'keras.optimizers.SGD'>,
56,5,1.9395943123652752,0.20481927692890167,1.918569851972775,0.21977287530899048,tanh,tanh,tanh,relu,elu,256,0.05,,30,random_uniform,softmax,categorical_crossentropy,5.000050000000001,128,128,128,<class 'keras.optimizers.RMSprop'>,
23,3,1.9349565505981445,0.20481927692890167,1.9223669845419242,0.22044087946414948,relu,relu,relu,tanh,elu,512,0.2,,30,normal,softmax,categorical_crossentropy,7.000030000000001,64,64,256,<class 'keras.optimizers.SGD'>,
22,30,1.938557766527536,0.20481927692890167,1.9281509211641514,0.21843686699867249,tanh,relu,elu,elu,elu,256,0.35000000000000003,,30,uniform,softmax,categorical_crossentropy,0.0001,64,32,256,<class 'keras.optimizers.Adam'>,
21,12,2.0949465314068467,0.20481927692890167,2.9609040235310453,0.2137608528137207,elu,tanh,elu,elu,relu,256,0.15000000000000002,,30,random_uniform,softmax,categorical_crossentropy,7.000030000000001,32,128,256,<class 'keras.optimizers.Nadam'>,
19,9,1.9406827688217163,0.20481927692890167,1.9184193860393568,0.21977287530899048,relu,tanh,elu,relu,relu,512,0.15000000000000002,,30,normal,softmax,categorical_crossentropy,9.000010000000001,128,64,32,<class 'keras.optimizers.Nadam'>,
18,6,1.9411090310797634,0.20481927692890167,1.9191890257393909,0.21977287530899048,relu,elu,relu,relu,relu,256,0.25,,30,random_uniform,softmax,categorical_crossentropy,4.00006,64,64,32,<class 'keras.optimizers.RMSprop'>,
16,5,1.9440065440403889,0.20481927692890167,1.917175029545684,0.21977287530899048,relu,relu,elu,relu,relu,256,0.25,,30,uniform,softmax,categorical_crossentropy,4.00006,64,64,32,<class 'keras.optimizers.Nadam'>,
15,4,1.9399206638336182,0.20481927692890167,1.9245246420244257,0.22044087946414948,elu,elu,elu,elu,tanh,512,0.35000000000000003,,30,random_uniform,softmax,categorical_crossentropy,6.00004,32,128,32,<class 'keras.optimizers.SGD'>,
14,10,1.9402611255645752,0.20481927692890167,1.9192409596605626,0.21977287530899048,tanh,relu,elu,relu,relu,512,0.45,,30,random_uniform,softmax,categorical_crossentropy,6.00004,32,32,128,<class 'keras.optimizers.Adam'>,
