round_epochs,loss,accuracy,val_loss,val_accuracy,lr,neurons_layer_2,neurons_layer_3,neurons_layer_4,neurons_layer_5,batch_size,epochs,dropout,kernel_initializer,weight_regulizer,emb_output_dims,optimizer,loss,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,last_activation
20,1.6816959381103516,0.28840726613998413,1.974280595779419,0.23102980852127075,0.0001,32,64,128,256,512,30,0.15000000000000002,normal,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,tanh,tanh,tanh,relu,tanh,elu,softmax
30,1.8392488956451416,0.30025961995124817,1.9797669649124146,0.21612465381622314,0.0001,32,64,32,128,512,30,0.05,normal,None,None,<class 'keras.optimizers.optimizer_v2.rmsprop.RMSprop'>,categorical_crossentropy,elu,relu,tanh,relu,elu,relu,softmax
30,2.0619263648986816,0.20408624410629272,2.070763111114502,0.2361111044883728,0.0001,64,64,64,512,256,30,0.4,uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,elu,relu,tanh,relu,tanh,relu,softmax
30,2.042614221572876,0.21616435050964355,2.0676827430725098,0.18597561120986938,0.0001,64,128,256,256,512,30,0.45,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,tanh,tanh,relu,tanh,relu,relu,softmax
30,1.8096301555633545,0.2821989059448242,1.9821696281433105,0.2269647717475891,0.0001,32,64,256,256,512,30,0.1,uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,elu,relu,relu,relu,relu,relu,softmax
13,1.7000306844711304,0.286262571811676,1.9762228727340698,0.21781842410564423,0.0001,64,64,128,128,256,30,0.25,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,tanh,elu,relu,tanh,elu,tanh,softmax
23,1.6794686317443848,0.2891974151134491,1.9745944738388062,0.2286585420370102,0.0001,32,128,64,256,512,30,0.2,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,tanh,elu,relu,elu,relu,tanh,softmax
30,1.7398110628128052,0.2952929139137268,1.986271858215332,0.18902438879013062,0.0001,128,64,32,128,512,30,0.30000000000000004,uniform,None,None,<class 'keras.optimizers.optimizer_v2.adam.Adam'>,categorical_crossentropy,tanh,tanh,relu,tanh,elu,tanh,softmax
21,1.725989818572998,0.30895134806632996,1.9810339212417603,0.19478319585323334,0.0001,64,128,128,256,512,30,0.1,normal,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,relu,elu,elu,relu,elu,relu,softmax
30,2.092884063720703,0.10193023830652237,2.087061882019043,0.08028455078601837,0.0001,128,128,256,128,512,30,0.4,uniform,None,None,<class 'keras.optimizers.optimizer_v2.gradient_descent.SGD'>,categorical_crossentropy,relu,elu,elu,elu,relu,tanh,softmax
25,1.691877007484436,0.28976181149482727,1.975428819656372,0.23102980852127075,0.0001,128,32,128,512,512,30,0.4,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,relu,relu,relu,relu,tanh,tanh,softmax
11,1.6518433094024658,0.3053392171859741,1.9879471063613892,0.2425474226474762,0.0001,32,256,256,256,256,30,0.35000000000000003,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,relu,tanh,elu,tanh,tanh,elu,softmax
30,1.7564464807510376,0.2890845537185669,1.9819074869155884,0.2259485125541687,0.0001,128,32,256,128,512,30,0.45,random_uniform,None,None,<class 'keras.optimizers.optimizer_v2.nadam.Nadam'>,categorical_crossentropy,elu,relu,elu,tanh,elu,relu,softmax
